2 9 8 8 6 3 4 1 7 7 1 5 4 2 9 6 3 8 4 6 3 1 7 5 9 5 2 1 2 4 9 3 7 8 9 6 6 5 9 4 1 6 2 3 5 8 3 7 5 8 2 1 7 4 9 8 6 7 3 4 5 2 1 5 7 2 6 9 8 3 4 9 3 4 1 2 5 1 7 8 6 14 23 
2 9 4 8 5 3 6 1 7 7 1 5 7 6 9 4 3 8 8 6 3 4 2 1 5 9 2 1 2 8 3 4 7 9 5 6 4 5 9 8 1 6 2 7 3 6 3 7 5 9 2 1 8 4 9 8 6 1 3 4 7 2 5 5 7 2 6 9 8 3 4 1 3 4 1 2 7 5 8 6 9 5 20 
9 2 8 8 6 3 5 1 7 7 1 5 4 2 9 6 3 8 4 6 3 7 5 1 4 9 2 1 3 4 9 2 7 5 8 3 6 5 9 8 3 4 2 7 1 7 8 2 5 1 6 9 6 4 8 9 6 3 5 4 7 2 1 5 2 1 6 7 8 3 4 9 3 4 7 2 9 1 8 5 6 14 23 
4 9 2 8 5 3 6 1 7 7 1 5 7 6 9 4 3 8 8 6 3 1 4 2 5 9 2 1 5 4 9 2 7 9 6 3 6 7 9 3 1 4 2 8 5 2 3 8 5 8 6 1 7 4 9 8 6 4 3 5 7 2 1 5 2 1 6 7 8 3 4 9 3 4 7 2 9 1 8 5 6 5 19 
4 9 8 8 5 3 6 1 7 2 1 5 7 6 9 4 3 8 7 6 3 1 4 2 9 5 2 1 2 4 9 8 7 5 6 3 8 5 9 4 3 6 2 7 1 6 3 7 5 2 1 8 9 4 9 8 6 3 7 4 1 2 5 5 7 2 6 1 8 3 4 9 3 4 1 2 9 5 7 8 6 3 16 
2 9 8 4 5 3 4 1 7 4 1 5 7 6 9 6 3 8 7 6 3 1 8 2 9 5 2 1 2 4 9 3 7 8 6 5 6 5 9 8 4 1 2 7 3 8 3 7 5 2 6 1 9 4 9 8 1 3 7 4 5 2 6 5 7 2 6 9 8 3 4 1 3 4 6 2 1 5 7 8 9 4 18 
2 9 4 8 6 3 5 1 7 7 1 5 4 2 9 6 3 8 8 6 3 7 1 5 4 9 2 1 3 2 9 4 7 8 5 6 4 5 9 1 8 6 2 7 3 6 8 7 5 3 2 1 9 4 9 7 8 3 5 4 6 2 1 5 2 1 6 7 8 3 4 9 3 4 6 2 9 1 7 8 5 3 15 
4 8 2 8 5 3 6 1 7 7 1 5 7 6 9 4 3 8 9 6 3 1 4 2 5 9 2 1 5 4 9 2 7 8 6 3 8 7 9 4 3 6 2 5 1 2 3 6 5 1 8 9 7 4 6 9 1 3 8 4 7 2 5 5 2 8 6 7 1 3 4 9 3 4 7 2 9 5 1 8 6 5 18 
4 9 8 4 5 3 6 1 7 2 1 5 7 6 9 4 3 8 7 6 3 1 8 2 5 9 2 1 2 4 9 2 7 9 5 6 8 5 9 3 4 6 2 8 3 6 3 7 5 1 8 1 7 4 9 7 6 8 3 4 7 2 5 5 8 2 6 7 1 3 4 9 3 4 1 2 9 5 8 6 1 11 20 
9 2 8 4 6 3 5 1 7 4 1 5 7 2 9 6 3 8 7 6 3 8 1 5 4 9 2 1 3 4 9 8 7 9 6 5 8 5 9 1 4 6 2 7 3 2 7 6 5 3 2 1 8 4 6 8 1 3 5 4 7 2 9 5 9 2 6 7 8 3 4 1 3 4 7 2 9 1 8 5 6 3 15 
9 8 2 4 5 3 6 1 7 4 1 5 7 6 9 4 3 8 7 6 3 1 8 2 9 5 2 1 3 4 9 2 7 5 8 6 6 5 9 8 1 4 2 7 3 2 7 8 5 3 6 1 9 4 8 9 6 3 4 5 7 2 1 5 2 1 6 7 8 3 4 9 3 4 7 2 9 1 8 6 5 3 15 
4 9 8 8 5 3 6 1 7 2 1 5 7 6 9 4 3 8 7 6 3 1 4 2 9 5 2 1 3 4 9 2 7 8 6 5 8 5 9 4 1 6 2 7 3 6 2 7 5 3 8 1 9 4 9 8 6 3 7 4 5 2 1 5 7 2 6 8 1 3 4 9 3 4 1 2 9 5 7 8 6 3 12 
2 9 4 8 6 3 5 1 7 7 1 5 7 2 9 4 6 8 8 6 3 4 5 1 9 3 2 1 5 6 9 4 7 8 9 3 4 3 9 3 8 6 2 5 1 8 7 2 5 1 2 6 7 4 9 8 7 1 3 4 5 2 6 5 2 1 6 7 8 3 4 9 3 4 6 2 9 5 7 8 1 11 19 
9 8 2 4 5 3 6 1 7 7 1 5 7 6 9 4 3 8 4 6 3 1 8 2 9 5 2 1 3 4 9 2 7 5 8 6 6 5 9 8 4 1 2 7 3 8 2 7 5 3 6 1 9 4 6 9 1 3 7 4 8 2 5 5 7 2 6 1 8 3 4 9 3 4 8 2 9 5 7 6 1 5 18 
2 9 8 4 6 3 5 1 7 4 1 5 7 2 9 6 3 8 7 6 3 8 5 1 4 9 2 1 2 4 3 8 7 9 5 6 8 5 9 1 4 6 2 7 3 6 3 7 5 9 2 1 8 4 9 8 6 9 3 4 7 2 1 5 7 2 6 1 8 3 4 9 3 4 1 2 7 5 8 6 5 3 11 
2 9 8 8 5 3 6 1 7 7 1 5 4 6 9 4 3 8 4 6 3 7 1 2 9 5 2 1 3 4 9 2 7 5 8 6 6 5 9 1 8 4 2 7 3 8 2 7 5 3 6 1 9 4 9 8 6 3 4 1 7 2 5 5 7 2 6 9 8 3 4 1 3 4 1 2 7 5 8 6 9 4 15 
2 9 8 4 6 3 5 1 7 4 1 5 7 2 9 6 3 8 7 6 3 1 5 8 4 9 2 1 5 4 9 2 7 8 5 6 6 3 9 8 1 4 2 7 1 8 2 7 5 3 6 9 3 4 9 7 6 3 8 4 1 2 5 5 8 2 6 7 1 3 4 9 3 4 1 2 9 5 7 8 6 8 18 

