MonoObjective Genetic Algorithm
Number of Evaluations = 0
Mutation Probability = 0.0100000000000000002
Crossover Probability = 0.5
Population Size = 100
Survival Selection Type = 16

Time =  300.037123000000008

Current Evaluation = 172100
Front Size = 100
2 9 4 8 6 3 5 1 7 7 1 5 4 2 9 6 3 8 8 6 3 7 5 1 4 9 2 1 5 2 9 4 7 8 6 3 4 7 9 3 8 6 2 5 1 6 3 8 5 1 2 9 7 4 9 8 6 1 3 4 7 2 5 5 2 1 6 7 8 3 4 9 3 4 7 2 9 5 1 8 6 1 18 
9 2 8 4 5 3 6 1 7 4 1 5 7 6 9 4 3 8 7 6 3 1 8 2 9 5 2 1 3 4 9 2 7 5 8 6 6 5 9 8 1 4 2 7 3 2 8 7 5 3 6 1 9 4 8 9 6 3 4 1 7 2 5 5 7 2 6 9 8 3 4 1 3 4 1 2 7 5 8 6 9 3 50 
9 2 8 4 6 3 5 1 7 4 1 5 7 2 9 6 3 8 7 6 3 8 1 5 4 9 2 1 5 4 9 8 7 9 6 3 8 3 9 1 4 6 2 7 5 2 7 6 5 3 2 1 8 4 6 9 7 3 5 4 8 2 1 5 8 2 6 7 1 3 4 9 3 4 1 2 9 8 7 5 6 3 39 
4 9 8 8 5 3 6 1 7 2 1 5 7 6 9 4 3 8 7 6 3 1 4 2 9 5 2 1 5 4 9 2 7 8 9 3 8 7 9 4 3 1 2 6 5 6 3 2 5 8 6 1 7 4 9 8 1 3 7 4 5 2 6 5 2 7 6 1 8 3 4 9 3 4 6 2 9 5 7 8 1 5 37 
9 8 4 4 5 3 6 1 7 2 1 5 7 6 9 4 3 8 7 6 3 1 2 8 5 9 2 1 2 6 9 4 7 8 5 3 4 5 9 8 3 6 2 7 1 8 3 7 5 1 2 9 6 4 6 9 8 3 7 4 1 2 5 5 7 2 6 8 1 3 4 9 3 4 1 2 9 5 7 8 6 3 35 
4 2 8 8 6 3 5 1 7 7 1 5 4 2 9 6 3 8 9 6 3 7 5 1 4 9 2 1 8 4 3 2 7 9 5 6 6 5 9 8 4 1 2 7 3 2 3 7 5 9 6 1 8 4 8 7 1 9 3 4 6 2 5 5 9 2 6 7 8 3 4 1 3 4 6 2 1 5 7 8 9 8 35 
8 9 4 8 2 3 5 1 7 2 1 5 7 6 9 4 6 8 7 6 3 4 5 1 9 3 2 1 3 2 9 4 7 8 5 6 4 5 9 1 8 6 2 7 3 6 7 8 5 3 2 1 9 4 9 8 6 3 1 4 7 2 5 5 2 7 6 9 8 3 4 1 3 4 1 2 7 5 6 8 9 4 31 
9 8 2 4 5 3 6 1 7 7 1 5 7 6 9 4 3 8 4 6 3 8 1 2 5 9 2 1 5 4 3 2 7 9 8 6 8 7 9 1 4 6 2 5 3 2 3 6 5 9 8 1 7 4 6 9 7 9 3 4 8 2 5 5 2 8 6 7 1 3 4 1 3 4 1 2 8 5 7 6 9 5 31 
9 8 2 8 6 3 4 1 7 4 1 5 7 2 9 6 3 8 7 6 3 1 5 4 9 5 2 1 5 4 9 3 7 8 6 3 8 3 9 4 1 6 2 7 5 2 7 6 5 8 2 1 9 4 8 9 1 3 4 5 7 2 6 5 2 7 6 9 8 3 4 1 3 4 6 2 7 1 5 8 9 7 32 
9 8 4 8 5 3 6 1 7 2 1 5 7 6 9 4 3 8 7 6 3 1 4 2 9 5 2 1 2 6 4 9 7 5 8 3 4 5 9 3 8 1 2 7 6 8 3 7 5 2 6 1 9 4 6 7 1 9 3 4 8 2 5 5 9 2 6 7 8 3 4 1 3 4 8 2 1 5 7 6 9 3 30 
8 9 4 8 2 3 6 1 7 2 1 5 7 6 9 4 3 8 7 6 3 1 5 4 5 9 2 1 8 2 4 3 7 9 5 6 4 5 9 8 1 6 2 7 3 6 3 7 5 9 2 1 8 4 9 7 6 3 4 5 8 2 1 5 2 8 6 7 1 3 4 9 3 4 1 2 9 8 7 6 5 5 30 
